Case,Steps,Expected outcome,Result,Tester,Build / environment,Actual outcome,Evidence link,Issue
UX-01,Salesperson → First contact due. Explain the screen without opening help.,"Name, contact details, reason and first-contact instruction are clear. No technical IDs or duplicate documentation required.",Not run,,,,,
UX-02,Try all four narrow panel widths and 200% zoom.,"Readable wrapping, no clipped actions or horizontal page scrolling; important controls remain reachable.",Not run,,,,,
UX-03,Tab through controls and expand disclosures.,"Visible keyboard focus, descriptive control names, logical order; collapsed details do not overwhelm the main action.",Not run,,,,,
UX-04,Salesperson → Quote ready. Prepare quote email.,A draft is prepared for review; the preview clearly says nothing was sent. The actual system does not mark a draft as presented.,Not run,,,,,
UX-05,Champion → Client needs a certificate.,Screen says Client workspace; champion is the main contact. Ready document delivery is the clear action. Preparing another document is secondary.,Not run,,,,,
UX-06,Champion → Carrier needs information.,"Carrier responsibility is clear. “Ask sales to obtain this information” is available, without making sales responsible for the carrier reply.",Not run,,,,,
UX-07,Sales manager → First contact due → Daily report.,"Only that manager's direct report appears. Account, responsible salesperson, reason, deadline and recovery action are understandable.",Not run,,,,,
UX-08,Marketing manager → Renewal needs usable quotes → report/email.,Carrier/renewal work is clear; no routine prospect-chasing work is mixed into this role.,Not run,,,,,
UX-09,Owner → an overdue situation → report/email.,"Persistent escalation is visible, with a link to the actual work. Merely reading the report does not resolve it.",Not run,,,,,
UX-10,"Owner → Team settings; edit, then cancel.","Saved mappings are initially read-only. Manager eligibility, per-salesperson manager and temporary cover are understandable. Cancel discards the draft.",Not run,,,,,
UX-11,Healthy and connection-gap scenarios → report/email.,Healthy zero and “coverage could not be verified” look different. Incomplete capture never looks like an all-clear.,Not run,,,,,
UX-12,Download a report and inspect the CSV.,"Useful headings, actual rows, as-of/timezone/filter context; no cut-off preview falsely presented as the whole report.",Not run,,,,,
SALE-01,Create a manual lead with contact information.,Default salesperson and champion are assigned separately. First contact is due within one business day. Missing contact/ownership is visible and owned.,Not run,,,,,
SALE-02,Submit a new website enquiry while delivery is active.,"One lead, readable internal submission, one actual AI introduction in the linked Front conversation. Queue acceptance alone is not reported as contact.",Not run,,,,,
SALE-03,"Save a draft response, refresh, then abandon it.",The response obligation stays open; no phantom contact or presentation.,Not run,,,,,
SALE-04,Send a real reply to the controlled prospect in Front.,Sent email appears once; matching outreach is satisfied automatically. No outcome form. Follow-up is scheduled from actual contact.,Not run,,,,,
SALE-05,Have the prospect reply before the follow-up morning.,The waiting reminder is superseded by a response obligation. An old queued reminder does not reopen a completed episode.,Not run,,,,,
SALE-06,"Leave a prospect unanswered after initial outreach. At each due morning, actually follow up.","Two follow-ups at two-business-day intervals, then weekly. Ignoring a reminder does not advance the sequence or reset lateness.",Not run,,,,,
SALE-07,Archive/snooze the test conversation before it is due.,"CRM deadline is unchanged. At the correct 9 a.m. window it reopens, with one clear reason and next step. No scheduled afternoon resurfacing.",Not run,,,,,
SALE-08,Leave a due item unhandled on another morning.,It remains visible. The conversation does not accumulate a duplicate explanatory comment every day. A material escalation may add a new explanation.,Not run,,,,,
SALE-09,"Place a call through Dialpad; first let it ring, then end it unanswered.",Ringing is not completed work. An ended attempt records effort. A missed-call return attempt gets a next-business-morning retry; the original question is not falsely marked answered.,Not run,,,,,
SALE-10,"Complete a connected call, and send/receive a controlled shared-line text.",Correct account and actual time appear once; matching outreach advances automatically. Text sender is the shared main line.,Not run,,,,,
